Date : 2025-05-04 23:17:36
Directory : c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith
Total : 306 files,  204434 codes, 10046 comments, 1853 blanks, all 216333 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\login\login.page.ts                                                          | TypeScript         |         88 |         14 |         18 |        120 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\main\main.page.html                                                          | HTML               |         19 |          0 |          1 |         20 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\main\main.page.scss                                                          | SCSS               |         37 |          0 |          5 |         42 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\main\main.page.spec.ts                                                       | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\main\main.page.ts                                                            | TypeScript         |        347 |         17 |         46 |        410 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\register\register.page.html                                                  | HTML               |         20 |          4 |          6 |         30 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\register\register.page.scss                                                  | SCSS               |        127 |          0 |          8 |        135 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\register\register.page.ts                                                    | TypeScript         |         76 |          5 |         15 |         96 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\services\api.service.ts                                                      | TypeScript         |         76 |          3 |         14 |         93 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\services\auth-guard.service.ts                                               | TypeScript         |         22 |          0 |          3 |         25 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\services\deeplinks.service.ts                                                | TypeScript         |         12 |          1 |          3 |         16 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\services\encryption.service.ts                                               | TypeScript         |         33 |          9 |          7 |         49 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\services\no-auth-guard.service.ts                                            | TypeScript         |         20 |          0 |          4 |         24 |
